Subject,System,ticket_id
eNB SLR6.0.0.P0_P02 FOA - Site resetting,,99c435e2-952f-4ff9-9ac1-db1c6f2c33d3
LSM 6.0: Manually re-collection of lost pm data is supported,Operation System Support,1f265f9e-68ef-468a-95f7-b7528298bc1f
"LTE-ME3307, UL Sub-frame Bundling",,41e08cc0-e3e1-4c1a-979d-d9a32fd5819a
eNB SLR6.0.0.P0_P02 FOA -Pdcpsdudropratedl,,bbbae707-d2c4-4613-aa83-2c7ab0b908b4
eNB SLR6.0.0.P0_P02 FOA - ERNI Auditing,,92c8d7bf-6845-42aa-a062-b639de168d8b
UAG - No extracts coming out of BM0SBC12,,ef8312dd-607f-4e2a-ae83-9a4fabc90e6b
SLR6 Counter Family Double_S1_Info,,104f0084-39c8-43bb-801d-b55758219635
UAG unable to prrocess and relay SIP messages,Unified Access Gateway,34a1828a-f7d3-4088-bce3-4b5730e45a2d
SRU swaps due to RRH Low Gain Alarm,RU,43231159-6d24-4c5a-bf80-fd48f1830e32
SLR6 - Counter Family MR - Missing Information,,1b1cde7a-8707-4b61-a9be-50c279c9a2ae
bcp process went down after CPC handover (Multiparty Case),MRF,bfbfae7e-0958-4ba2-925d-69be8d0ee479
Restoration function doesn't work as per design impact doc,Distributed Unit,111c24a2-4e85-46a9-846c-c3977949aea2
ALD ALD COMMUNICATION FAIL_SLR6.0_Post Software Upgrade,,15ed3420-e41d-4e57-bc57-c7e5d017cdb8
Raw PM data files missing - BM0LSM04_MS01 BM0LSM04_MS02 BM0LSM04_MS03,Operation System Support,2c42620f-c635-4158-8cce-14e2abbe97fc
eMRF 1.9.5.0 Media Connection IP address change,MRF,3ba319ec-00ae-44db-8b52-ff3e59f36292
MRO-012-B feature counter (TooLateHoRlfBeforeTriggeringAtSetup) doesn't peg,Distributed Unit,467d2aa1-011d-4370-a52e-c7f0869c1291
EnodeB in cyclic restart mode post SLR6.0 upgrade,Distributed Unit,dd29ff01-e24e-4b84-9329-3a16c9827de9
SLR6.0.0-Idle UE distribution feature does not seem to be working,Distributed Unit,676514a7-bece-469e-aca2-75d13bb1635b
"MME Showing Multi Node Out Of Service alarm. Looks like total PDMA outage on HH today, twice",C-MME/SGSN,6adea72e-055b-4150-b6c5-69f4fe654763
RuleBase creation error:Exceed Filter limit,Gateway General Packet Radio Service,d4d03082-3002-4b56-bdf0-0349eabf35b5
FOH018_HH0LSM01_all 6 cells down due to RRH Communication Fail,,d831c210-ecf0-42b8-8539-d0a47559e9d3
HTDSBC05 4.5.8.9 - 500 Internal Error from CE node,Unified Access Gateway,a8a87c4e-12a4-450f-906a-dc5326bed052
"EATF change the R-URI for its own address, ECSCF drop the eme call",Unified Access Gateway,b0854056-e98f-4300-af4e-d3d55c3d2958
"MySQL server stopped the GUI is not accessible, no automatic switchover on AM",Unified Access Gateway,7fa921d9-5360-4405-92b8-3884a19eee83
Diameter link down when the CE card restored,Unified Access Gateway,17d3cedb-ee04-4766-ace1-44f263df8a3f
CGW 5.3.0.0 testing - File Size,CGW,d50523c3-eed1-40a3-83b1-76ec3bca1d02
VMIG ( IP-SM Gateway) Message failures,VMIG,ecb68920-774b-4642-95c3-2587e704bb94
CGW testing 5.3.0.0 - Take-over when application is terminated abnormally,CGW,34c6e08c-d5e2-453b-bb72-a3cb44136e04
"S1AP Reset on the VPN1, even though VPN1 never failed",Distributed Unit,71b019e5-b3e9-49d0-a7e7-9063770ee72e
Investigation for IRAT fails increased from April 2017,,2b3d22bf-baaa-43b6-b622-4fef098670dc
SGSN initiated deactivation ratio,C-MME/SGSN,f3cd84ff-0137-40d5-9862-706ebae49559
Using CCPF to switch off CDR's,Gateway General Packet Radio Service,c430e262-3a58-44ff-b8cd-a69a4ffd4aa4
No PANI header in 200OK for PRAVK,Unified Access Gateway,b8495d26-ddad-40c1-a448-67363fa34e60
PCRF updates QoS but SAE doesnt apply to bearer,SAEGW(GGSN),e2dee39d-3c2a-4970-aa7a-d8273bb6927b
RACH Optimization [LTE-SO0401]_Preamble Power Decrease_Not working_LUA,,5fae5e7e-2c5e-4474-af0f-8ef01156177f
PCRF downgrades QoS but SAE does not apply to PDP context,SAEGW(GGSN),7245faee-5331-49e0-9153-f739d5d0a889
eNB SLR7.0.0  Pdcpsdudelay increased,,61e099f9-1c4d-488d-bf9d-2472d2a9194a
Several CE cards in out of service(OOS) state on HH0SBC11,SBC ,a9b20603-77bd-43f5-9772-5aba2437c893
BT_GREEN 4G LTE HO degradation,,cbef3ea9-1338-4a23-b437-31263295cdbc
SBC retries forwarding the initial INVITE after sending 503,SBC ,831a2478-7c62-466a-aec6-22f6a827f284
RTP stream is not handled in UAG when call setup announcement is played,Unified Access Gateway,82090305-1eda-476b-9e9e-088a244f1d8c
eNB SLR7.0.0  RRE Fails,,f9092f0b-62cc-4f5a-a6be-ba08094eb09f
Failure in Disk 007  for Disk Enclosure 1 for Bay 12 for MR0CGW02.,CGW,b52125b0-2516-4a8f-b5db-bdb59444a17c
