Page,Date of Sale,Price,Address
1,25/09/2024,"€20,900,000.00","Black Church View, Mountjoy Street, Dublin, Dublin 7,"
1,25/09/2024,"€13,100,000.00","Black Church View, Mountjoy Street, Dublin, Dublin 7,"
1,19/04/2024,"€150,000.00 **","64 CHURCH STREET, DUBLIN 7, Dublin 7, D07T8X8"
1,12/12/2024,"€235,000.00","APT 6 ST CATHERINES CHURCH, BRIDGEFOOT STREET, DUBLIN 8, Dublin 8, D08TD39"
1,02/08/2024,"€600,000.00","42 CHURCH STREET, SKERRIES, CO. DUBLIN, K34ET22"
1,11/04/2024,"€240,000.00","134 HARDWICKE, CHURCH STREET, DUBLIN 7, D07C634"
1,08/02/2024,"€250,000.00","67 THE HARDWICKE, CHURCH STREET, DUBLIN 7,"
1,09/10/2024,"€802,000.00","15 & 16 CHURCH STREET, HOWTH, CO DUBLIN, D13HR59"
